Year,MakeModel,Reason
1952,OTHER-NOT IN LIST OTHER,ABANDONED
1961,CHEVROLET OTHER,ABANDONED
1970,SUZUKI OTHER,ACCIDENT
1972,CHEVROLET OTHER,ABANDONED
1973,OTHER-NOT IN LIST OTHER,ILLEGALLY PARKED
1973,GMC OTHER,ABANDONED
1973,TRAILER-GENERIC TRAILER,ABANDONED
1974,CHEVROLET CORVETTE,ILLEGALLY PARKED
1975,INTERNATIONAL OTHER,ABANDONED
1975,CHEVROLET UTILITY,ARREST
1976,KAWASAKI OTHER,ACCIDENT
1976,PONTIAC BONNEVILLE,ILLEGALLY PARKED
1977,GMC SIERRA,STOLEN
1978,OTHER-NOT IN LIST OTHER,ILLEGALLY PARKED
1978,FORD LTD,ABANDONED
1978,LINCOLN CONTINENTL,ABANDONED
1978,CHEVROLET OTHER,ARREST
1978,YAMAHA OTHER,ACCIDENT
1978,OTHER-NOT IN LIST OTHER,ILLEGALLY PARKED
1979,CHEVROLET 10,ACCIDENT
1979,OTHER-NOT IN LIST OTHER,ABANDONED
1979,CHEVROLET CAMARO,ARREST